Code,Description,Category,Price Excl.,Price Incl.,Avg Cost,Last Cost,Qty On Hand,Active
.,.,,0.0000,0.0000,0.0000,0.0000,-1.0000,No
F3000-00006,0 x 6 Hammer Drive Screws Brass,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1636-02540,1 Flat Washer Imperial E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1635-02540,1 Flat Washer Imperial S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1637-02540,1 Flat Washer Imperial Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1810-1,1 inch BSP Dowty Sealing Washer (34 x 43 x 2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F6030-2511,1 inch Gas Pipe Plug BSP SLOTTEX Yellow HDPE Slottex Plug,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1225-2540,1 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-2540,1 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1231-2540,1 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F6000-2540,1 inch Taper Pipe Plug BSPT BS21,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1078-2540,1 inch x 14 TPI Half Lock Nut Brass Imperial (Customer Special),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0650-10212,1 inch x 2 1/2 inch UNC Hex Bolt S/C SAE5 DIN931,Fastners,41.0630,47.2220,32.8500,32.8500,30.0000,Yes
F1225-3810,1.1/2 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-3810,1.1/2 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1231-3810,1.1/2 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1225-3170,1.1/4 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-3170,1.1/4 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1231-3170,1.1/4 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0740-31700465,1.1/4 x 465 Liner Bolt UNC Grade 8.8 S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1225-2860,1.1/8 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-2860,1.1/8 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1231-2860,1.1/8 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1225-4450,1.3/4 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-4450,1.3/4 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1231-4450,1.3/4 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016012,1.6 x 12 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016016,1.6 x 16 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016020,1.6 x 20 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016025,1.6 x 25 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5520-016025,1.6 x 25mm Split Pin,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016032,1.6 x 32 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5520-016032,1.6 x 32mm Split Pin,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5523-016040,1.6 x 40 Split Pin St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5520-016040,1.6 x 40mm Split Pin,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5520-016050,1.6 x 50mm Split Pin,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1636-01270,1/2 Flat Washer Imperial E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1635-01270,1/2 Flat Washer Imperial S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1637-01270,1/2 Flat Washer Imperial Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1810-1/2,1/2 inch BSP Dowty Sealing Washer (21.54 x 28.58 x 2.34),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F6070-BSP0120,1/2 inch BSP Grease Nipple Button Head Industrial,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F6014-0120,1/2 inch Gas Pipe Plug BSP DIN906,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1225-1270,1/2 inch Nut BSW Mild Steel S/C BS1083,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1228-1270,1/2 inch Nut UNC Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,-100.0000,Yes
F1231-1270,1/2 inch Nut UNF Grade 5 S/C SAE J995,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1281-1/2UNC,1/2 inch Nyloc Nut GR2 E/G,Fastners,0.0000,0.0000,2.2300,2.2300,30.0000,Yes
